[#urls] [#bytes] [host] [#robots] [#remaining] [#novel-urls] [#novel-bytes] [#dup-by-hash-urls] [#dup-by-hash-bytes] [#not-modified-urls] [#not-modified-bytes]
93 8540 dns: 0 5 93 8540 0 0 0 0 
43 1077599 auto.sina.com.cn 0 2 43 1077599 0 0 0 0 
38 303398 k.sinaimg.cn 0 18 38 303398 0 0 0 0 
34 512378 www.sinaimg.cn 0 0 34 512378 0 0 0 0 
25 5780952 n.sinaimg.cn 0 68 25 5780952 0 0 0 0 
16 60815 login.sina.com.cn 0 0 16 60815 0 0 0 0 
14 155769 d3.sina.com.cn 0 0 14 155769 0 0 0 0 
14 62270 p1.qhmsg.com 0 0 14 62270 0 0 0 0 
12 827219 img.t.sinajs.cn 0 0 12 827219 0 0 0 0 
10 241538 i.sso.sina.com.cn 0 0 10 241538 0 0 0 0 
9 172976 s.weibo.com 0 0 9 172976 0 0 0 0 
9 3226 sax.sina.com.cn 0 0 9 3226 0 0 0 0 
6 13974 d1.sina.com.cn 0 0 6 13974 0 0 0 0 
6 13958 i1.sinaimg.cn 0 0 6 13958 0 0 0 0 
6 697992 js.t.sinajs.cn 0 0 6 697992 0 0 0 0 
5 1823 beacon.sina.com.cn 0 0 5 1823 0 0 0 0 
5 6391 d2.sina.com.cn 0 0 5 6391 0 0 0 0 
5 18940 d4.sina.com.cn 0 0 5 18940 0 0 0 0 
5 27385 get.adobe.com 0 0 5 27385 0 0 0 0 
5 11225 i0.sinaimg.cn 0 0 5 11225 0 0 0 0 
5 68700 news.sina.com.cn 0 0 5 68700 0 0 0 0 
5 7632 passport.weibo.com 0 0 5 7632 0 0 0 0 
4 4677191 10.3.200.202 0 0 4 4677191 0 0 0 0 
4 27050 amp.ad.sina.com.cn 0 0 4 27050 0 0 0 0 
4 18765 app.qlogo.cn 0 16 4 18765 0 0 0 0 
4 67562 d5.sina.com.cn 0 0 4 67562 0 0 0 0 
4 26223 d7.sina.com.cn 0 0 4 26223 0 0 0 0 
4 817 hq.sinajs.cn 0 0 4 817 0 0 0 0 
4 4407 i.blog.sina.com.cn 0 0 4 4407 0 0 0 0 
4 3456 i2.sinaimg.cn 0 0 4 3456 0 0 0 0 
4 7008 i3.sinaimg.cn 0 0 4 7008 0 0 0 0 
4 500912 iask.sina.com.cn 0 0 4 500912 0 0 0 0 
4 8091 jifen.sina.com.cn 0 0 4 8091 0 0 0 0 
4 27019 tva1.sinaimg.cn 0 0 4 27019 0 0 0 0 
4 25615 tva2.sinaimg.cn 0 0 4 25615 0 0 0 0 
4 201918 www.jd.com 0 0 4 201918 0 0 0 0 
3 20309 adm.leju.sina.com.cn 0 0 3 20309 0 0 0 0 
3 29172 biz.finance.sina.com.cn 0 0 3 29172 0 0 0 0 
3 1567 d6.sina.com.cn 0 0 3 1567 0 0 0 0 
3 1567 d8.sina.com.cn 0 0 3 1567 0 0 0 0 
3 1578 d9.sina.com.cn 0 0 3 1578 0 0 0 0 
3 18207 finance.sina.com.cn 0 0 3 18207 0 0 0 0 
3 7804 i6.esfimg.com 0 0 3 7804 0 0 0 0 
3 1507 image.sinajs.cn 0 0 3 1507 0 0 0 0 
3 2075 int.dpool.sina.com.cn 0 0 3 2075 0 0 0 0 
3 1146 ip.house.sina.com.cn 0 0 3 1146 0 0 0 0 
3 1914 m.wrating.com 0 0 3 1914 0 0 0 0 
3 7762 mail.sina.cn 0 0 3 7762 0 0 0 0 
3 8727 my.sina.com.cn 0 0 3 8727 0 0 0 0 
3 6053 rm.sina.com.cn 0 0 3 6053 0 0 0 0 
3 6908 sina.wrating.com 0 0 3 6908 0 0 0 0 
3 2337 so.auto.sina.com.cn 0 0 3 2337 0 0 0 0 
3 8912 src.house.sina.com.cn 0 0 3 8912 0 0 0 0 
3 20604 src.leju.com 0 0 3 20604 0 0 0 0 
3 15754 staticadm.leju.sina.com.cn 0 0 3 15754 0 0 0 0 
3 48082 storage.try.fashion.sina.com.cn 0 0 3 48082 0 0 0 0 
3 590193 www.sina.com.cn 0 633 3 590193 0 0 0 0 
2 1115 account.weibo.com 0 0 2 1115 0 0 0 0 
2 754 adbox.sina.com.cn 0 0 2 754 0 0 0 0 
2 2502 api.sina.com.cn 0 0 2 2502 0 0 0 0 
2 551 api.weibo.com 0 0 2 551 0 0 0 0 
2 164211 auto.sina.cn 0 0 2 164211 0 0 0 0 
2 544 beacon.sinauda.com 0 0 2 544 0 0 0 0 
2 788 comet.blog.sina.com.cn 0 0 2 788 0 0 0 0 
2 114898 dup.baidustatic.com 0 0 2 114898 0 0 0 0 
2 29663 house.sina.com.cn 0 0 2 29663 0 0 0 0 
2 4059 js.miaozhen.com 0 0 2 4059 0 0 0 0 
2 1297 mail.sina.com.cn 0 0 2 1297 0 0 0 0 
2 24914 mail.sina.net 0 0 2 24914 0 0 0 0 
2 598 rm.api.weibo.com 0 0 2 598 0 0 0 0 
2 1302 service.mail.sina.com.cn 0 0 2 1302 0 0 0 0 
2 943 sina.com.cn 0 0 2 943 0 0 0 0 
2 17406 sjs2.sinajs.cn 0 0 2 17406 0 0 0 0 
2 3433 tva4.sinaimg.cn 0 0 2 3433 0 0 0 0 
2 2355 u1.qhimg.com 0 0 2 2355 0 0 0 0 
2 36533 usedcar.auto.sina.com.cn 0 0 2 36533 0 0 0 0 
2 1500 vip.sina.com 0 0 2 1500 0 0 0 0 
2 1307 vip.sina.com.cn 0 0 2 1307 0 0 0 0 
2 12081 wo.com.cn 0 0 2 12081 0 0 0 0 
2 997 www.macromedia.com 0 0 2 997 0 0 0 0 
2 1633 www.miaoche.com 0 0 2 1633 0 0 0 0 
2 1505 www.wenwo.com 0 0 2 1505 0 0 0 0 
2 274730 www.yibaoxian.com 0 0 2 274730 0 0 0 0 
2 819 x.jd.com 0 0 2 819 0 0 0 0 
1 751 3g.sina.cn 1 0 1 751 0 0 0 0 
1 319 d00.sina.com.cn 0 1 1 319 0 0 0 0 
1 518 s11.cnzz.com 1 0 1 518 0 0 0 0 
1 374 static.iask.cn 39 0 1 374 0 0 0 0 
1 548 tp1.sinaimg.cn 26 0 1 548 0 0 0 0 
1 589 tp2.sinaimg.cn 33 0 1 589 0 0 0 0 
1 548 tp3.sinaimg.cn 35 0 1 548 0 0 0 0 
1 548 tp4.sinaimg.cn 42 0 1 548 0 0 0 0 
1 521 v1.cnzz.com 1 0 1 521 0 0 0 0 
1 564 weibo.com 6 0 1 564 0 0 0 0 
1 779 zhiyuan.edu.sina.com.cn 0 1 1 779 0 0 0 0 
0 0 d 0 1 0 0 0 0 0 0 
0 0 keyword.sina.com.cn 0 1 0 0 0 0 0 0 
0 0 s 0 1 0 0 0 0 0 0 
0 0 secure-cn.imrworldwide.com 0 1 0 0 0 0 0 0 
0 0 sina.allyes.com 0 8 0 0 0 0 0 0 
0 0 d 0 1 0 0 0 0 0 0 
0 0 keyword.sina.com.cn 0 1 0 0 0 0 0 0 
0 0 s 0 1 0 0 0 0 0 0 
0 0 secure-cn.imrworldwide.com 0 1 0 0 0 0 0 0 
0 0 sina.allyes.com 0 8 0 0 0 0 0 0 
