[#urls] [#bytes] [host] [#robots] [#remaining] [#novel-urls] [#novel-bytes] [#dup-by-hash-urls] [#dup-by-hash-bytes] [#not-modified-urls] [#not-modified-bytes]
531 5838880 www.sina.com.cn 0 942 531 5838880 0 0 0 0 
177 14776763 n.sinaimg.cn 0 0 177 14776763 0 0 0 0 
128 11993 dns: 0 7 128 11993 0 0 0 0 
88 242408 corp.sina.com.cn 0 0 88 242408 0 0 0 0 
48 443562 www.sinaimg.cn 0 0 48 443562 0 0 0 0 
34 574285 auto.sina.com.cn 0 0 34 574285 0 0 0 0 
31 671582 i3.sinaimg.cn 0 0 31 671582 0 0 0 0 
30 528712 i1.sinaimg.cn 0 0 30 528712 0 0 0 0 
21 139475 i2.sinaimg.cn 0 0 21 139475 0 0 0 0 
19 192347 app.qlogo.cn 0 0 19 192347 0 0 0 0 
19 99531 i0.sinaimg.cn 0 0 19 99531 0 0 0 0 
18 697355 news.sina.com.cn 0 0 18 697355 0 0 0 0 
16 851785 img.t.sinajs.cn 0 0 16 851785 0 0 0 0 
16 60430 login.sina.com.cn 0 0 16 60430 0 0 0 0 
14 396066 i.sso.sina.com.cn 0 0 14 396066 0 0 0 0 
13 122641 d3.sina.com.cn 0 0 13 122641 0 0 0 0 
12 118321 n2.sinaimg.cn 0 0 12 118321 0 0 0 0 
12 49499 p1.qhmsg.com 0 0 12 49499 0 0 0 0 
12 252757 storage.fedev.sina.com.cn 0 0 12 252757 0 0 0 0 
11 136549 d1.sina.com.cn 0 0 11 136549 0 0 0 0 
11 116706 sjs2.sinajs.cn 0 0 11 116706 0 0 0 0 
10 51420 comment5.news.sina.com.cn 0 0 10 51420 0 0 0 0 
9 492334 finance.sina.com.cn 0 0 9 492334 0 0 0 0 
9 180482 s.weibo.com 0 0 9 180482 0 0 0 0 
9 3226 sax.sina.com.cn 0 0 9 3226 0 0 0 0 
9 346693 sjs0.sinajs.cn 0 0 9 346693 0 0 0 0 
7 8429117 10.3.200.202 0 0 7 8429117 0 0 0 0 
7 30066 timg.sjs.sinajs.cn 0 0 7 30066 0 0 0 0 
6 697992 js.t.sinajs.cn 0 0 6 697992 0 0 0 0 
6 13722 passport.weibo.com 0 0 6 13722 0 0 0 0 
5 34544 10.3.8.211 0 0 5 34544 0 0 0 0 
5 2949 api.search.sina.com.cn 0 0 5 2949 0 0 0 0 
5 9475 api.sina.com.cn 0 0 5 9475 0 0 0 0 
5 1823 beacon.sina.com.cn 0 0 5 1823 0 0 0 0 
5 6407 d2.sina.com.cn 0 0 5 6407 0 0 0 0 
5 18941 d4.sina.com.cn 0 0 5 18941 0 0 0 0 
5 73433 d5.sina.com.cn 0 0 5 73433 0 0 0 0 
5 27385 get.adobe.com 0 0 5 27385 0 0 0 0 
5 1101 hq.sinajs.cn 0 0 5 1101 0 0 0 0 
5 29992 top.finance.sina.com.cn 0 0 5 29992 0 0 0 0 
4 27050 amp.ad.sina.com.cn 0 0 4 27050 0 0 0 0 
4 67562 d7.sina.com.cn 0 0 4 67562 0 0 0 0 
4 67562 d8.sina.com.cn 0 0 4 67562 0 0 0 0 
4 67563 d9.sina.com.cn 0 0 4 67563 0 0 0 0 
4 96552 data.auto.sina.com.cn 0 0 4 96552 0 0 0 0 
4 4415 i.blog.sina.com.cn 0 0 4 4415 0 0 0 0 
4 1110441 iask.sina.com.cn 0 0 4 1110441 0 0 0 0 
4 2578 image.sinajs.cn 0 0 4 2578 0 0 0 0 
4 4537 image2.sina.com.cn 0 0 4 4537 0 0 0 0 
4 25884 jifen.sina.com.cn 0 0 4 25884 0 0 0 0 
4 70886 n1.sinaimg.cn 0 0 4 70886 0 0 0 0 
4 55571 n3.sinaimg.cn 0 0 4 55571 0 0 0 0 
4 25210 sjs1.sinajs.cn 0 0 4 25210 0 0 0 0 
4 26896 tva1.sinaimg.cn 0 0 4 26896 0 0 0 0 
4 25325 tva2.sinaimg.cn 0 0 4 25325 0 0 0 0 
4 203125 www.jd.com 0 0 4 203125 0 0 0 0 
3 20386 adm.leju.sina.com.cn 0 0 3 20386 0 0 0 0 
3 913 beacon.sinauda.com 0 0 3 913 0 0 0 0 
3 28973 biz.finance.sina.com.cn 0 0 3 28973 0 0 0 0 
3 1226 comet.blog.sina.com.cn 0 0 3 1226 0 0 0 0 
3 1567 d6.sina.com.cn 0 0 3 1567 0 0 0 0 
3 6998 doc.sina.cn 0 0 3 6998 0 0 0 0 
3 282593 ent.sina.com.cn 0 0 3 282593 0 0 0 0 
3 30662 fashion.sina.com.cn 0 0 3 30662 0 0 0 0 
3 7269 i4.esfimg.com 0 0 3 7269 0 0 0 0 
3 2075 int.dpool.sina.com.cn 0 0 3 2075 0 0 0 0 
3 1146 ip.house.sina.com.cn 0 0 3 1146 0 0 0 0 
3 1912 m.wrating.com 0 0 3 1912 0 0 0 0 
3 7764 mail.sina.cn 0 0 3 7764 0 0 0 0 
3 8658 my.sina.com.cn 0 0 3 8658 0 0 0 0 
3 6055 rm.sina.com.cn 0 0 3 6055 0 0 0 0 
3 16248 rss.sina.com.cn 0 0 3 16248 0 0 0 0 
3 6907 sina.wrating.com 0 0 3 6907 0 0 0 0 
3 2337 so.auto.sina.com.cn 0 0 3 2337 0 0 0 0 
3 9027 src.house.sina.com.cn 0 0 3 9027 0 0 0 0 
3 20601 src.leju.com 0 0 3 20601 0 0 0 0 
3 15754 staticadm.leju.sina.com.cn 0 0 3 15754 0 0 0 0 
3 48112 storage.try.fashion.sina.com.cn 0 0 3 48112 0 0 0 0 
3 19079 tech.sina.com.cn 0 0 3 19079 0 0 0 0 
3 36797 video.sina.com.cn 0 0 3 36797 0 0 0 0 
3 2268 www.wenwo.com 0 0 3 2268 0 0 0 0 
3 7071 zhiyuan.edu.sina.com.cn 0 0 3 7071 0 0 0 0 
2 1772 10.3.8.210 0 0 2 1772 0 0 0 0 
2 1123 account.weibo.com 0 0 2 1123 0 0 0 0 
2 754 adbox.sina.com.cn 0 0 2 754 0 0 0 0 
2 551 api.weibo.com 0 0 2 551 0 0 0 0 
2 159755 auto.sina.cn 0 0 2 159755 0 0 0 0 
2 66472 d0.sina.com.cn 0 0 2 66472 0 0 0 0 
2 550 d00.sina.com.cn 0 0 2 550 0 0 0 0 
2 114896 dup.baidustatic.com 0 0 2 114896 0 0 0 0 
2 149835 eladies.sina.com.cn 0 0 2 149835 0 0 0 0 
2 29663 house.sina.com.cn 0 0 2 29663 0 0 0 0 
2 4061 js.miaozhen.com 0 0 2 4061 0 0 0 0 
2 1297 mail.sina.com.cn 0 0 2 1297 0 0 0 0 
2 24914 mail.sina.net 0 0 2 24914 0 0 0 0 
2 1918 media.corporate-ir.net 0 0 2 1918 0 0 0 0 
2 2437 n0.sinaimg.cn 0 0 2 2437 0 0 0 0 
2 46003 p.ivideo.sina.com.cn 0 0 2 46003 0 0 0 0 
2 45522 p1.sinaimg.cn 0 0 2 45522 0 0 0 0 
2 48773 p4.sinaimg.cn 0 0 2 48773 0 0 0 0 
2 32838 pfp.sina.com.cn 0 0 2 32838 0 0 0 0 
2 25444 portrait4.sinaimg.cn 0 0 2 25444 0 0 0 0 
2 4680 portrait5.sinaimg.cn 0 0 2 4680 0 0 0 0 
2 599 rm.api.weibo.com 0 0 2 599 0 0 0 0 
2 1300 service.mail.sina.com.cn 0 0 2 1300 0 0 0 0 
2 1055 service.weibo.com 0 0 2 1055 0 0 0 0 
2 723 share.v.t.qq.com 0 0 2 723 0 0 0 0 
2 5253 simg.sinajs.cn 0 0 2 5253 0 0 0 0 
2 975 sina.com.cn 0 0 2 975 0 0 0 0 
2 3422 tva4.sinaimg.cn 0 0 2 3422 0 0 0 0 
2 917 v.t.sina.com.cn 0 0 2 917 0 0 0 0 
2 1502 vip.sina.com 0 0 2 1502 0 0 0 0 
2 1307 vip.sina.com.cn 0 0 2 1307 0 0 0 0 
2 12081 wo.com.cn 0 0 2 12081 0 0 0 0 
2 42159 www.ddchong.com 0 0 2 42159 0 0 0 0 
2 724 www.laiwang.com 0 0 2 724 0 0 0 0 
2 999 www.macromedia.com 0 0 2 999 0 0 0 0 
2 9013 www.weimi.me 0 0 2 9013 0 0 0 0 
2 819 x.jd.com 0 0 2 819 0 0 0 0 
1 751 3g.sina.cn 1 0 1 751 0 0 0 0 
1 272 download.macromedia.com 1 0 1 272 0 0 0 0 
1 438 newsurvey.client.sina.com.cn 2 0 1 438 0 0 0 0 
1 518 s11.cnzz.com 1 0 1 518 0 0 0 0 
1 500 search.sina.com.cn 1 0 1 500 0 0 0 0 
1 344 static.bshare.cn 2 0 1 344 0 0 0 0 
1 374 static.iask.cn 39 0 1 374 0 0 0 0 
1 555 tp1.sinaimg.cn 30 0 1 555 0 0 0 0 
1 589 tp2.sinaimg.cn 35 0 1 589 0 0 0 0 
1 548 tp3.sinaimg.cn 37 0 1 548 0 0 0 0 
1 555 tp4.sinaimg.cn 39 0 1 555 0 0 0 0 
1 519 v1.cnzz.com 1 0 1 519 0 0 0 0 
1 565 weibo.com 9 0 1 565 0 0 0 0 
0 0 10.210.237.166 0 2 0 0 0 0 0 0 
0 0 757.adsina.allyes.com 0 3 0 0 0 0 0 0 
0 0 d 0 1 0 0 0 0 0 0 
0 0 keyword.sina.com.cn 0 1 0 0 0 0 0 0 
0 0 s 0 1 0 0 0 0 0 0 
0 0 secure-cn.imrworldwide.com 0 3 0 0 0 0 0 0 
0 0 sina.allyes.com 0 8 0 0 0 0 0 0 
0 0 sinaimg.cn 0 1 0 0 0 0 0 0 
