[#urls] [#bytes] [mime-types]
726 8086089 text/html
204 7068798 image/jpeg
178 4672337 application/x-javascript
128 11993 text/dns
117 1799319 image/png
102 8249608 image/gif
34 16229 text/plain
32 125451 image/x-icon
30 1400755 text/css
19 8432766 unknown
16 9390 application/xml
10 4240 application/json
6 36179 application/javascript
5 115751 text/javascript
2 12069 application/x-shockwave-flash
1 46304 image/
1 2357 image/svg+xml
1 9303 text/xml
